,Id,Place name,Phone,Address,Hours,Location,Reviews count,Category,Total score,website,Claimed,Latitude,Longitude,Place id,Cid,Featured Image,Review URL
0,1,Chicago O'Hare International Airport,18008326352.0,"10000 W Balmoral Ave, Chicago, IL 60666, United States",,https://www.google.com/maps?cid=5843217136966282571,48510.0,"International airport,Airport",4.0,flychicago.com,no,41.9802588,-87.9089858,ChIJ82J3aie0D4gRS61ZAgdHF1E,0x880fb4276a7762f3:0x511747070259ad4b,https://lh5.googleusercontent.com/p/AF1QipOyYwjv2nBDSqiP-K0el2dhPoT0xuzN-A_butBV,https://search.google.com/local/reviews?placeid=ChIJ82J3aie0D4gRS61ZAgdHF1E&q=chicago+airports&authuser=0&hl=en&gl=DE
1,2,Chicago Midway International Airport,17738380600.0,"5700 S Cicero Ave, Chicago, IL 60638, United States",,https://www.google.com/maps?cid=10847589131411345573,4399.0,"International airport,Airport",3.7,flychicago.com,yes,41.7867759,-87.7521884,ChIJhUOqAQYxDogRpVApj9dgipY,0x880e310601aa4385:0x968a60d78f2950a5,https://lh5.googleusercontent.com/p/AF1QipMDC_w5lANVQp06W_sq6kYibiSIYgITJlb3Ikmq,https://search.google.com/local/reviews?placeid=ChIJhUOqAQYxDogRpVApj9dgipY&q=chicago+airports&authuser=0&hl=en&gl=DE
2,3,Chicago Rockford International Airport (RFD),18663597331.0,"2 Airport Cir, Rockford, IL 61109, United States",,https://www.google.com/maps?cid=3978025184425746366,615.0,"International airport,Airport",4.2,flyrfd.com,yes,42.2018417,-89.09581899999999,ChIJ5-m2IYbqCIgRvh9BKdTINDc,0x8808ea8621b6e9e7:0x3734c8d429411fbe,https://lh5.googleusercontent.com/p/AF1QipOt-gc6R1rpzFLaE4Tz7NbSg1FnQNTDVDYDS0vW,https://search.google.com/local/reviews?placeid=ChIJ5-m2IYbqCIgRvh9BKdTINDc&q=chicago+airports&authuser=0&hl=en&gl=DE
3,4,Chicago Executive Airport-PWK,18475372580.0,"1020 Plant Rd, Wheeling, IL 60090, United States",,https://www.google.com/maps?cid=1464039603545908975,104.0,Regional airport,4.5,chiexec.com,yes,42.1161287,-87.9016055,ChIJFXJbwhi5D4gR7yZ1OkNQURQ,0x880fb918c25b7215:0x145150433a7526ef,https://lh5.googleusercontent.com/p/AF1QipMqMOevZ_MCUY5sX1ApIdyBVmKoYCU1glgMMXy7,https://search.google.com/local/reviews?placeid=ChIJFXJbwhi5D4gR7yZ1OkNQURQ&q=chicago+airports&authuser=0&hl=en&gl=DE
4,5,DuPage Airport Authority,16305842211.0,"2700 International Dr, West Chicago, IL 60185, United States",,https://www.google.com/maps?cid=15934526795873194525,91.0,"Regional airport,Airport",4.9,dupageairport.com,no,41.9067614,-88.25490789999999,ChIJpcojW__9DogRHRL3M7LPIt0,0x880efdff5b23caa5:0xdd22cfb233f7121d,https://lh5.googleusercontent.com/p/AF1QipM-B_9ec48n87IvLMBZwaMLjcjrzGQ9gNJ92QiZ,https://search.google.com/local/reviews?placeid=ChIJpcojW__9DogRHRL3M7LPIt0&q=chicago+airports&authuser=0&hl=en&gl=DE
5,6,South Bend International Airport,15742824590.0,"4477 Progress Dr, South Bend, IN 46628, United States",,https://www.google.com/maps?cid=15967017371886867558,1364.0,"International airport,Airport",4.4,flysbn.com,yes,41.700602,-86.31210209999999,ChIJ217m74wtEYgRZtTO7bM9lt0,0x88112d8cefe65edb:0xdd963db3edced466,https://lh5.googleusercontent.com/p/AF1QipPfTknaVQqh2ccQr95xmoJkqXoap3IWidkfiPo2,https://search.google.com/local/reviews?placeid=ChIJ217m74wtEYgRZtTO7bM9lt0&q=chicago+airports&authuser=0&hl=en&gl=DE
6,7,Gary/Chicago International Airport,12199494925.0,"6001 Airport Rd, Gary, IN 46406, United States",,https://www.google.com/maps?cid=15756167143914704066,83.0,"International airport,Airport",4.4,flygyy.com,no,41.6177392,-87.408428,ChIJLazaieTcEYgRwoy3ookmqdo,0x8811dce489daac2d:0xdaa92689a2b78cc2,https://lh5.googleusercontent.com/p/AF1QipNESvdNuTzq660IYtwyew9-u0nFhKQn-4KiMyjE,https://search.google.com/local/reviews?placeid=ChIJLazaieTcEYgRwoy3ookmqdo&q=chicago+airports&authuser=0&hl=en&gl=DE
7,8,Schaumburg Regional Airport,18479233778.0,"905 W Irving Park Rd, Schaumburg, IL 60193, United States",,https://www.google.com/maps?cid=17112096150168278854,47.0,Airport,4.7,villageofschaumburg.com,no,41.9908508,-88.1023632,ChIJmXseXFqpD4gRRhcc6chgeu0,0x880fa95a5c1e7b99:0xed7a60c8e91c1746,https://lh5.googleusercontent.com/p/AF1QipPhlQ4uHk-sFH-mH0Z89nUZHJdI4AFhBGiRkFK5,https://search.google.com/local/reviews?placeid=ChIJmXseXFqpD4gRRhcc6chgeu0&q=chicago+airports&authuser=0&hl=en&gl=DE
8,9,Merrill C. Meigs Field,,"Unnamed Road, Chicago, IL 60605, United States",,https://www.google.com/maps?cid=16924397370110114261,6.0,Airport,3.2,,no,41.8600681,-87.6100629,ChIJdcd8Q1QrDogR1fn3Ir2J3-o,0x880e2b54437cc775:0xeadf89bd22f7f9d5,https://lh5.googleusercontent.com/p/AF1QipMXfyXRIzKSwDDcpxAwtpN__68TyjSgVPajjoc,https://search.google.com/local/reviews?placeid=ChIJdcd8Q1QrDogR1fn3Ir2J3-o&q=chicago+airports&authuser=0&hl=en&gl=DE
9,10,Frankfort Airport,17088781100.0,"22763 S Center Rd, Frankfort, IL 60423, United States",,https://www.google.com/maps?cid=7842965986726836072,,Airport,,,no,41.4774778,-87.840087,ChIJxzNRMTkTDogRaPdS2ALQ12w,0x880e1339315133c7:0x6cd7d002d852f768,,
10,1,Wrigley Field,17734042827.0,"1060 W Addison St, Chicago, IL 60613, United States",,https://www.google.com/maps?cid=2083546915695089222,31560.0,"Stadium,Baseball field,Tourist attraction",4.8,mlb.com,yes,41.9484384,-87.6553327,ChIJId-a5bLTD4gRRtbdduE-6hw,0x880fd3b2e59adf21:0x1cea3ee176ddd646,https://lh5.googleusercontent.com/p/AF1QipNCUjjA1Jl0OV0JGjY5fzK0Z6oBt84dcDzArSn2,https://search.google.com/local/reviews?placeid=ChIJId-a5bLTD4gRRtbdduE-6hw&q=chicago++stadiums&authuser=0&hl=en&gl=DE
11,2,Soldier Field,13122357000.0,"1410 Special Olympics Dr, Chicago, IL 60605, United States",,https://www.google.com/maps?cid=11802136834584609436,11522.0,"Stadium,Concert hall,Soccer field",4.5,soldierfield.com,yes,41.8623132,-87.6166884,ChIJu-eVtX0rDogRnAL4r-ucyaM,0x880e2b7db595e7bb:0xa3c99cebaff8029c,https://lh5.googleusercontent.com/p/AF1QipOJCLY-7aeNbgaz84JjYux1EqhQcyVEMf_EJ4CG,https://search.google.com/local/reviews?placeid=ChIJu-eVtX0rDogRnAL4r-ucyaM&q=chicago++stadiums&authuser=0&hl=en&gl=DE
12,3,Guaranteed Rate Field,13126741000.0,"333 W 35th St, Chicago, IL 60616, United States",,https://www.google.com/maps?cid=3424511868571127992,14759.0,"Stadium,Baseball field",4.6,mlb.com,yes,41.8298609,-87.63366839999999,ChIJ9ZKOJxQsDogRuJBKj2ZPhi8,0x880e2c14278e92f5:0x2f864f668f4a90b8,https://lh5.googleusercontent.com/p/AF1QipMwq1qw31Vz_F8rkOc20Xvsp-nC6qQECT7UJHa5,https://search.google.com/local/reviews?placeid=ChIJ9ZKOJxQsDogRuJBKj2ZPhi8&q=chicago++stadiums&authuser=0&hl=en&gl=DE
13,4,United Center,13124554500.0,"1901 W Madison St, Chicago, IL 60612, United States",,https://www.google.com/maps?cid=11210567808380306244,22045.0,"Stadium,Attraction,Hockey rink,Live music venue,Arena",4.7,unitedcenter.com,yes,41.8806908,-87.6741759,ChIJT7Wpyj4tDogRRAPwjAbwk5s,0x880e2d3ecaa9b54f:0x9b93f0068cf00344,https://lh5.googleusercontent.com/p/AF1QipP5L7Pk0wgZutj7gQY-_vUhYn8Sx_RAPR-SUSsu,https://search.google.com/local/reviews?placeid=ChIJT7Wpyj4tDogRRAPwjAbwk5s&q=chicago++stadiums&authuser=0&hl=en&gl=DE
14,5,Lane Stadium,17735345426.0,"2601 W Addison St, Chicago, IL 60618, United States",,https://www.google.com/maps?cid=16897428176637289575,117.0,Stadium,4.4,cpsathletics.com,no,41.9455156,-87.6924927,ChIJD00wHXrSD4gRZ2Qkdma5f-o,0x880fd27a1d304d0f:0xea7fb96676246467,https://lh5.googleusercontent.com/p/AF1QipPv4Qumfq9q5V1YAffMI_z5NT-nydgfgW-xzvAI,https://search.google.com/local/reviews?placeid=ChIJD00wHXrSD4gRZ2Qkdma5f-o&q=chicago++stadiums&authuser=0&hl=en&gl=DE
15,6,Knute Rockne Stadium,17735346332.0,"1117 S Central Ave, Chicago, IL 60644, United States",,https://www.google.com/maps?cid=5974732580882319587,69.0,"Stadium,Athletic field",4.2,cpsathletics.com,yes,41.8669077,-87.7638289,ChIJY-KnSnAzDogR44hxd6CD6lI,0x880e33704aa7e263:0x52ea83a0777188e3,https://lh5.googleusercontent.com/p/AF1QipOjAenvXXp3oFBg55z1ukpSBj_vsnDB4dRmkBpi,https://search.google.com/local/reviews?placeid=ChIJY-KnSnAzDogR44hxd6CD6lI&q=chicago++stadiums&authuser=0&hl=en&gl=DE
16,7,Hanson Stadium,17735343397.0,"2233 N Central Ave, Chicago, IL 60639, United States",,https://www.google.com/maps?cid=9254336154597571765,98.0,Stadium,4.1,cpsathletics.com,no,41.9228721,-87.7650815,ChIJM9mBGJHMD4gRtbzXdrMBboA,0x880fcc911881d933:0x806e01b376d7bcb5,https://lh5.googleusercontent.com/p/AF1QipPoMMpHuJLYL2fDZN0N237lnVDHraagwkq76ZtU,https://search.google.com/local/reviews?placeid=ChIJM9mBGJHMD4gRtbzXdrMBboA&q=chicago++stadiums&authuser=0&hl=en&gl=DE
17,8,Winnemac Stadium,17739995632.0,"5105 N Leavitt St, Chicago, IL 60625, United States",,https://www.google.com/maps?cid=7144081673725551970,42.0,Stadium,4.4,cpsathletics.com,yes,41.9741834,-87.68373559999999,ChIJGRlCvh3SD4gRYiXKaG7gJGM,0x880fd21dbe421919:0x6324e06e68ca2562,https://lh5.googleusercontent.com/p/AF1QipMqhRDO2N_6Z0eewosiq-UMNbzQboZ2W9yrSu2q,https://search.google.com/local/reviews?placeid=ChIJGRlCvh3SD4gRYiXKaG7gJGM&q=chicago++stadiums&authuser=0&hl=en&gl=DE
18,9,Stadium,,"6054 S Damen Ave, Chicago, IL 60636, United States",,https://www.google.com/maps?cid=10226302015681110620,4.0,Stadium,4.5,,no,41.7857246,-87.6749761,ChIJmZRCNSYvDogRXKKIgoAf640,0x880e2f2635429499:0x8deb1f808288a25c,https://lh5.googleusercontent.com/p/AF1QipOM-DWa_NeEsM2fS5er9CioRmNndhclmL9Dq0KL,https://search.google.com/local/reviews?placeid=ChIJmZRCNSYvDogRXKKIgoAf640&q=chicago++stadiums&authuser=0&hl=en&gl=DE
19,10,Les Miller Field at Curtis Granderson Stadium,,"901 W Roosevelt Rd, Chicago, IL 60608, United States",,https://www.google.com/maps?cid=6099528781510138277,91.0,Baseball field,4.7,uicflames.com,no,41.8654527,-87.6488105,ChIJIbVehO8sDogRpdkuLxzhpVQ,0x880e2cef845eb521:0x54a5e11c2f2ed9a5,https://lh5.googleusercontent.com/p/AF1QipNqnrh0A3eWgTyXIW2CBbDdLxf_w7ibRyd4tDNg,https://search.google.com/local/reviews?placeid=ChIJIbVehO8sDogRpdkuLxzhpVQ&q=chicago++stadiums&authuser=0&hl=en&gl=DE
20,11,Eckersall Stadium inc,17732696535.0,"2423 E 82nd St, Chicago, IL 60617, United States",,https://www.google.com/maps?cid=15489718577245746593,190.0,Stadium,4.2,,no,41.7455051,-87.5649218,ChIJb30pQG4oDogRoXWAW_qI9tY,0x880e286e40297d6f:0xd6f688fa5b8075a1,https://lh5.googleusercontent.com/p/AF1QipMsaShrlMo9DTj_cWaOSl-e8jT_iyVgOn--VpDr,https://search.google.com/local/reviews?placeid=ChIJb30pQG4oDogRoXWAW_qI9tY&q=chicago++stadiums&authuser=0&hl=en&gl=DE
21,12,Doyle Stadium,,"W 79th St, Chicago, IL 60652, United States",,https://www.google.com/maps?cid=14704468296500174480,3.0,Stadium,3.7,,no,41.750955,-87.6869049,ChIJRb5Pw40vDogRkN7iDwLEEMw,0x880e2f8dc34fbe45:0xcc10c4020fe2de90,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,https://search.google.com/local/reviews?placeid=ChIJRb5Pw40vDogRkN7iDwLEEMw&q=chicago++stadiums&authuser=0&hl=en&gl=DE
22,13,Stagg Field,17736435500.0,"E 55th St, Chicago, IL 60615, United States",,https://www.google.com/maps?cid=5170850128452922224,61.0,Stadium,4.5,athletics.uchicago.edu,no,41.7940518,-87.6048373,ChIJbQRlyDgpDogRcCs4pcuMwkc,0x880e2938c865046d:0x47c28ccba5382b70,https://lh5.googleusercontent.com/p/AF1QipOZXmBENgg-SCwOcv3AQXcSeMxJJsk2hqj9rsTQ,https://search.google.com/local/reviews?placeid=ChIJbQRlyDgpDogRcCs4pcuMwkc&q=chicago++stadiums&authuser=0&hl=en&gl=DE
23,14,Gately Stadium,17735355647.0,"810 E 103rd St, Chicago, IL 60628, United States",,https://www.google.com/maps?cid=11011132147451232184,17.0,Stadium,4.4,cpsathletics.com,yes,41.7085091,-87.6026376,ChIJfZ_PIWkmDogRuP-2P1lmz5g,0x880e266921cf9f7d:0x98cf66593fb6ffb8,https://lh5.googleusercontent.com/p/AF1QipNag6RYdZQVtaeSMS8SHhZ97O3QH3tAsBvD88rt,https://search.google.com/local/reviews?placeid=ChIJfZ_PIWkmDogRuP-2P1lmz5g&q=chicago++stadiums&authuser=0&hl=en&gl=DE
24,15,Cougar Stadium,,"Chicago, IL 60628, United States",,https://www.google.com/maps?cid=15124775940187551827,5.0,Stadium,4.6,gocsucougars.com,no,41.7153074,-87.6068396,ChIJ8VSsNm0mDogRU_hARpX_5dE,0x880e266d36ac54f1:0xd1e5ff954640f853,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,https://search.google.com/local/reviews?placeid=ChIJ8VSsNm0mDogRU_hARpX_5dE&q=chicago++stadiums&authuser=0&hl=en&gl=DE
25,16,Guaranteed Rate Field,13126745151.0,"4 S Shields Ave, Chicago, IL 60616, United States",,https://www.google.com/maps?cid=3751791491850994661,97.0,"Stadium,Baseball field",4.7,whitesox.mlb.com,no,41.8307276,-87.6352187,ChIJc5uuZqwtDogR5YMc53sKETQ,0x880e2dac66ae9b73:0x34110a7be71c83e5,https://lh5.googleusercontent.com/p/AF1QipPeszFTvTfz8TiYTKnHhgodr-pXSJbfzNyv4FlZ,https://search.google.com/local/reviews?placeid=ChIJc5uuZqwtDogR5YMc53sKETQ&q=chicago++stadiums&authuser=0&hl=en&gl=DE
26,17,Amos A Stagg Stadium,17735353808.0,"1035 W 74th St, Chicago, IL 60621, United States",,https://www.google.com/maps?cid=5747402545492011434,81.0,Stadium,4.1,cpsathletics.com,no,41.7590602,-87.6504841,ChIJ36ngpA0vDogRqik6ASrgwk8,0x880e2f0da4e0a9df:0x4fc2e02a013a29aa,https://lh5.googleusercontent.com/p/AF1QipPyocaCKf2M825jJt2WvS_oKHlR97XBddFsJXKq,https://search.google.com/local/reviews?placeid=ChIJ36ngpA0vDogRqik6ASrgwk8&q=chicago++stadiums&authuser=0&hl=en&gl=DE
27,18,Stuart Field,13125677130.0,"Chicago, IL 60616, United States",,https://www.google.com/maps?cid=15560554595085841706,35.0,"Stadium,Soccer field",4.3,illinoistechathletics.com,no,41.8388919,-87.6285968,ChIJ_83IiG0sDogRKvUp_PUx8tc,0x880e2c6d88c8cdff:0xd7f231f5fc29f52a,https://lh5.googleusercontent.com/p/AF1QipNDv-kk684qJ3xekiCPDOV-N0Kv4IddQvCawJ4R,https://search.google.com/local/reviews?placeid=ChIJ_83IiG0sDogRKvUp_PUx8tc&q=chicago++stadiums&authuser=0&hl=en&gl=DE
28,19,Cicero Stadium,17086523545.0,"1909 S Laramie Ave, Cicero, IL 60804, United States",,https://www.google.com/maps?cid=8953411116442986167,334.0,Stadium,4.4,,no,41.8542993,-87.75380559999999,ChIJySo2c6EzDogRtyaeI_nnQHw,0x880e33a173362ac9:0x7c40e7f9239e26b7,https://lh5.googleusercontent.com/p/AF1QipPD8rXLFCXC-pSim_FL7HwO6WoK3hFGbkKkl-ew,https://search.google.com/local/reviews?placeid=ChIJySo2c6EzDogRtyaeI_nnQHw&q=chicago++stadiums&authuser=0&hl=en&gl=DE
29,20,Ray & Joan Kroc Stadium,17739950151.0,"1250 W 119th St, Chicago, IL 60643, United States","Saturday:[7 am-8 pm],Sunday:[9 am-4 pm],Monday:[5:30 am-9 pm],Tuesday:[5:30 am-9 pm],Wednesday:[5:30 am-9 pm],Thursday:[5:30 am-9 pm],Friday:[5:30 am-9 pm]",https://www.google.com/maps?cid=9638518964433808721,271.0,Sports complex,4.6,kroccenterchicago.org,no,41.6787719,-87.6538933,ChIJs_ZZtF8kDogRUW3xW-7lwoU,0x880e245fb459f6b3:0x85c2e5ee5bf16d51,https://lh5.googleusercontent.com/p/AF1QipPQp0WinNV_DDM8877x6jKnaBC93NyKab-q7CSB,https://search.google.com/local/reviews?placeid=ChIJs_ZZtF8kDogRUW3xW-7lwoU&q=chicago++stadiums&authuser=0&hl=en&gl=DE
